key	status	approval_id	source_file	source_sha256	master	mini_64	thumb_128	placeholder	rejection_reason
first-match	rejected-placeholder	REC-0001	image-gen-1(10).png	8466f10a34b4b35a2af72965d6b0ca942565d964b6fa6abfe8d0293978a0cd84				assets/images/achievements/placeholders/first-match.svg	Recovered match/team-points artwork was rejected; placeholder-only policy restored post-v2.9.13.
first-point	rejected-placeholder	REC-0018	image-gen-2(10).png	1550af9a0c66bc69e1bb50a19614ddb3c0bc533677cbee8a147ac5a0379529e7				assets/images/achievements/placeholders/first-point.svg	Recovered match/team-points artwork was rejected; placeholder-only policy restored post-v2.9.13.
matches-10	rejected-placeholder	REC-0026	image-gen-3(10).png	ef7f484e59db60cb436b8ed41a3c59f268b53a0a92fc2351b642648767f710f0				assets/images/achievements/placeholders/matches-10.svg	Recovered match/team-points artwork was rejected; placeholder-only policy restored post-v2.9.13.
matches-50	rejected-placeholder	REC-0034	image-gen-4(10).png	42502c69dc3af5580c873225631575d62f07489388856ac149b1ce3a0def05c9				assets/images/achievements/placeholders/matches-50.svg	Recovered match/team-points artwork was rejected; placeholder-only policy restored post-v2.9.13.
matches-100	rejected-placeholder	REC-0049	image-gen-5(9).png	fb0e01f9bcd4f875185cc16c924fb6f6c48fa26bfb777ab9334706df9d63e57b				assets/images/achievements/placeholders/matches-100.svg	Recovered match/team-points artwork was rejected; placeholder-only policy restored post-v2.9.13.
matches-250	rejected-placeholder	REC-0057	image-gen-6(9).png	c834bc4a85c3f5f1aebec9523a21ad69bdd6603843747ab37fdb4bce1109c900				assets/images/achievements/placeholders/matches-250.svg	Recovered match/team-points artwork was rejected; placeholder-only policy restored post-v2.9.13.
matches-500	rejected-placeholder	REC-0062	image-gen-7(6).png	5398fb202249dfd469f2249754a5d4c29e51d072d5e0786e06d44843573ccf77				assets/images/achievements/placeholders/matches-500.svg	Recovered match/team-points artwork was rejected; placeholder-only policy restored post-v2.9.13.
games-100	existing-resolved		games-100.png	3df6fbd520c969bedc807195cc9e096d2d503f57f9482931442b132a7aeb26ef	assets/images/achievements/games-100.png	assets/images/achievements/mini/64/games-100.webp	assets/images/achievements/thumbs/128/games-100.webp		
games-500	existing-resolved		games-500.png	cbbd2d3f85d146df38c381323ab068b8968182b4ed157b10584c0a718c943ae3	assets/images/achievements/games-500.png	assets/images/achievements/mini/64/games-500.webp	assets/images/achievements/thumbs/128/games-500.webp		
games-1000	existing-resolved		games-1000.png	93a1cb656712915d2660a54fe726841bc1007cc565cdbf1c949c587309824ce8	assets/images/achievements/games-1000.png	assets/images/achievements/mini/64/games-1000.webp	assets/images/achievements/thumbs/128/games-1000.webp		
games-5000	existing-resolved		games-5000.png	59b8b8259b5c9dced74c658d6c3f4ccdea9448ce80de5bf9cb54b21fce518f53	assets/images/achievements/games-5000.png	assets/images/achievements/mini/64/games-5000.webp	assets/images/achievements/thumbs/128/games-5000.webp		
games-10000	existing-resolved		games-10000.png	cb326c28a94cd80421e6c3a9a79936f731332fe9675dbad6204f6b1d1924665e	assets/images/achievements/games-10000.png	assets/images/achievements/mini/64/games-10000.webp	assets/images/achievements/thumbs/128/games-10000.webp		
wins-50	existing-resolved		wins-50.png	fdeacb15f820de9f402cb40ec45e72798f1da4ca95a6a5344156caa12fda6dc8	assets/images/achievements/wins-50.png	assets/images/achievements/mini/64/wins-50.webp	assets/images/achievements/thumbs/128/wins-50.webp		
wins-250	existing-resolved		wins-250.png	81ef42282ec82e718dff1046d07d020c832fc41239663437ed94b2421c5e6f16	assets/images/achievements/wins-250.png	assets/images/achievements/mini/64/wins-250.webp	assets/images/achievements/thumbs/128/wins-250.webp		
wins-1000	existing-resolved		wins-1000.png	f6c0834b522e076f4024ed13132a5b5a12eb4e61d11c23246165166697154a4a	assets/images/achievements/wins-1000.png	assets/images/achievements/mini/64/wins-1000.webp	assets/images/achievements/thumbs/128/wins-1000.webp		
daily-pawn	existing-resolved		01_Pawn_10_points.png	2fa5e7b61d1546880800549597d68572972aad95d8390f67490d82b1dfc3edfc	assets/images/ranks/01_Pawn_10_points.png	assets/images/achievements/mini/64/daily-pawn.webp	assets/images/achievements/thumbs/128/daily-pawn.webp		
